document,verdict,policy_clauses,reasoning
The complainant has requested the disclosure of information about complaints in respect of a specified property over a defined period of time. Canterbury City Council (“the Council”) withheld the information because it considered that the information within scope was the personal data of third parties and that disclosure would breach the GDPR principles. The complainant challenged the decision before the ICO.,COMPLIANT,"Article 4, Article 5, Article 6","1. The case involves Canterbury City Council (""the Council"") withholding information about complaints related to a specified property, citing that the information constitutes personal data of third parties and that disclosure would breach GDPR principles.

2. Under Article 4 of the GDPR, 'personal data' is defined as any information relating to an identified or identifiable natural person. The complaints about the property likely contain information that could identify individuals (e.g., complainants or property residents), making it personal data.

3. Article 6(1) outlines the lawfulness of processing personal data. Disclosure of this information to the public would constitute processing. The Council must have a lawful basis for such processing, such as consent or legitimate interests.

4. The Council determined that disclosure would breach GDPR principles, particularly the principle of lawfulness, fairness, and transparency (Article 5(1)(a)), as the data subjects (third parties) likely did not consent to this disclosure and would not reasonably expect their complaint information to be made public.

5. The right of access by the data subject (Article 15) applies to individuals seeking their own personal data, not to third parties seeking others' personal data. The complainant in this case is requesting information about complaints made by others, which falls under the category of third-party personal data.

6. Article 15(4) states that the right to obtain a copy of personal data shall not adversely affect the rights and freedoms of others. Disclosing the complaint information would likely infringe on the data subjects' rights to privacy and data protection.

7. The Council's decision to withhold the information aligns with the principle of integrity and confidentiality (Article 5(1)(f)), which requires appropriate security of personal data, including protection against unauthorized disclosure.

8. The case does not fall under any of the exceptions where processing of personal data is permitted without consent under Article 6(1) (e.g., public interest or legitimate interests), as the Council judged that the rights of the data subjects override any public interest in disclosure.

9. Therefore, the Council's actions are consistent with the GDPR principles and requirements for protecting third-party personal data, making the case COMPLIANT with the policy."
The complainant has requested a copy of an inspection report named kennels to the Pendle Borough Council (the Council). The Council refused as it considered it to be third party personal data under 40(2) of the Freedom of Information Act (FOIA). The complainant challenged the decision before the ICO.,COMPLIANT,"Article 4, Article 5, Article 6","1. The case involves a request for an inspection report about kennels to Pendle Borough Council, which contains third-party personal data as defined in Article 4 of the GDPR (any information relating to an identified or identifiable natural person).

2. The Council refused the request under FOIA provisions, which is consistent with GDPR principles as the disclosure would constitute processing of personal data under Article 4 (any operation performed on personal data, including disclosure by transmission).

3. Under Article 6(1) of GDPR, processing is lawful only if it meets specific conditions. Disclosure of third-party personal data in response to an FOI request would require either consent from the data subjects or another lawful basis, which is not present in this case.

4. Article 15 provides data subjects with the right to access their personal data, but this right is limited to their own data and does not extend to accessing third-party personal data without appropriate grounds.

5. The Council's refusal aligns with the principle of lawfulness, fairness, and transparency in Article 5(1)(a), as unauthorized disclosure of third-party personal data would be unfair to the data subjects.

6. The case demonstrates compliance with the accountability principle in Article 5(2), as the Council took responsibility for ensuring that personal data is not disclosed inappropriately.

7. The Council's actions are consistent with the restrictions on processing special categories of data under Article 9, as inspection reports could potentially contain such data about identifiable individuals.

8. The verdict of COMPLIANT is appropriate because the Council correctly applied GDPR principles by refusing to disclose third-party personal data without a lawful basis, thereby protecting the fundamental rights and freedoms of data subjects as outlined in Article 1.

Therefore the case is COMPLIANT with the policy."
"The complainant submitted a request to the Ministry of Defence (MOD) under the UK Freedom of Information Act (FOIA) seeking access to a fax cover sheet sent to the Veterans Welfare Service regarding a claim for payment following the death in service of the complainant’s son.

The MOD provided the complainant with a redacted version of the document in question, but sought to withhold the redacted information on the basis of section 40(2) of FOIA, which

The complainant challenged the decision before the ICO, in the ICO's capacity under the Freedom of Information Act.",COMPLIANT,"Article 4, Article 5, Article 6","1. The case involves a data subject (the complainant) exercising their right of access to personal data under Article 15 of the GDPR, as they requested a document containing personal data (a fax cover sheet) from the Ministry of Defence (MOD), which acts as a data controller.

2. The MOD, as a public authority and data controller, is subject to the GDPR's provisions regarding the right of access (Article 15) and the conditions for processing personal data relating to criminal convictions and offences (Article 10).

3. The MOD partially complied with the access request by providing a redacted version of the document, demonstrating an attempt to balance the complainant's right of access with other obligations, including the protection of third-party personal data and any sensitive information that might fall under special categories (Article 9) or criminal data (Article 10).

4. The redaction of information under section 40(2) of the UK FOIA, which exempts personal data where disclosure would contravene data protection principles, indicates the MOD considered the GDPR's proportionality and necessity principles (Article 5) and potentially the safeguards required for processing criminal data (Article 10).

5. The case was properly escalated to the Information Commissioner's Office (ICO), the UK's supervisory authority under GDPR (Article 51), for review, ensuring independent oversight of the MOD's compliance with data protection obligations, including the right of access (Article 15) and any applicable exemptions or restrictions.

6. The ICO's review process itself represents a mechanism for ensuring compliance with GDPR, as supervisory authorities are tasked with handling complaints (Article 57) and investigating potential infringements (Article 58).

7. Therefore, the case demonstrates a lawful process where the data subject exercised their rights, the controller responded in a manner consistent with GDPR principles, and the supervisory authority provided appropriate oversight, resulting in overall compliance with the GDPR framework.

8. The case is COMPLIANT with the policy."
"The complainant has requested information from University of Leicester about external examiners for the department of engineering between the years 2010 to 2018. The University withheld the information, citing section 40(2) (personal information) of the FOIA.

The complainant challenged the decision before the ICO.",COMPLIANT,"Article 4, Article 5, Article 6","1. The case involves the University of Leicester processing personal data (names of external examiners) which falls under the definition of 'personal data' in Article 4 of the GDPR, as it relates to identifiable natural persons.

2. The University, as the data controller, must process personal data lawfully under Article 5(1)(a) and Article 6. Disclosure of external examiners' names under FOIA constitutes processing under Article 4(2).

3. The University determined that disclosure would violate data protection principles, specifically the lawfulness requirement under Article 6, as no lawful basis for processing (disclosure) exists. External examiners have a reasonable expectation of privacy regarding their professional appointments.

4. Article 85(2) allows Member States to reconcile FOIA with data protection rights. The UK's FOIA Section 40(2) explicitly exempts personal data where disclosure would contravene data protection principles, implementing this reconciliation.

5. The processing does not meet any condition under Article 6(1):
   - Consent was not obtained (Article 6(1)(a))
   - Disclosure is not necessary for contract performance (Article 6(1)(b))
   - No legal obligation requires this disclosure (Article 6(1)(c))
   - Vital interests are not engaged (Article 6(1)(d))
   - The processing is not for public interest tasks (Article 6(1)(e))
   - Legitimate interests (Article 6(1)(f)) do not override the data subjects' rights since the examiners' privacy expectations outweigh public interest in names

6. The Information Commissioner's Office (ICO) as supervisory authority properly applied the balancing test under Article 6(1)(f), determining that data subjects' interests and fundamental rights override any public interest in disclosure.

7. The University's actions comply with the principle of accountability under Article 5(2) by demonstrating compliance through their decision-making process and engagement with FOIA exemptions.

8. The case does not involve special category data under Article 9, criminal data under Article 10, or automated decision-making under Article 22, which might require additional safeguards.

9. The ICO's verdict confirms that the processing (disclosure) would violate the GDPR's principles, making the University's withholding action compliant with both FOIA Section 40(2) and the GDPR's requirements.

10. Therefore the case is COMPLIANT with the policy."
"The Department of Education (the DfE) was requested to provide the entire audio recording of a Professional Conduct Panel hearing into a case against five teachers - so called Trojan Horse affair. (This involved investigations into the alleged infiltration of Islamist extremists into the education sector in Birmingham. These hearings investigate whether there has been unacceptable professional misconduct by these five teachers) The hearing took place in public and was recorded by the National College for Teaching and Leadership (NCTL).  The panel’s decision was announced on the government’s website.

The complainant argued with the DfE that the audio files contain important information not found elsewhere such as how statements were spoken including intonation and emotion. He further argues that this is essential for public scrutiny and transparency in this case.

The request was refused by the DfE under section 40(2) (personal information), 31(2) (law enforcement) and 14 (vexatious request) of the FOIA.

- Section 40 of the FOIA provides exemptions from the right to information if it is personal data as defined in the DPA.

-Section 14 states that the public authorities do not have to comply with vexatious requests.

The complainant filed a complaint against the DfE with the ICO about the way his request for information had been handled by the DfE.",COMPLIANT,"Article 5, Article 6, Article 9","1. The case involves a request for audio recordings of a Professional Conduct Panel hearing, which contains personal data of the teachers involved, including their voices which constitute biometric data under Article 4 of the GDPR policy (defining biometric data as ""personal data resulting from specific technical processing relating to the physical, physiological or behavioural characteristics of a natural person, which allow or confirm the unique identification"").

2. The processing of this personal data falls under the material scope of the GDPR as defined in Article 2, as it involves processing by automated means (audio recording) and forms part of a filing system maintained by the National College for Teaching and Leadership.

3. The Department of Education's refusal to disclose the audio recordings under FOIA section 40(2) (personal information exemption) is consistent with GDPR principles, particularly Article 5(1)(a) requiring lawful, fair and transparent processing, as disclosure would constitute further processing of personal data that must comply with GDPR requirements.

4. The audio recordings contain special categories of personal data under Article 9(1), including biometric data (voices) and potentially data revealing religious beliefs (given the nature of the ""Trojan Horse affair"" investigation), which are subject to stricter processing conditions.

5. While the hearing was public and the decision was published, the complete audio recording contains additional personal data elements (intonation, emotion) that were not part of the published decision, making its disclosure a separate processing operation that requires its own legal basis under Article 6.

6. The GDPR allows for restrictions of data subject rights under Article 23 when such restrictions respect the essence of fundamental rights and are necessary for objectives including ""the prevention, investigation, detection or prosecution of criminal offences"" (Article 23(1)(d)) and ""other important objectives of general public interest"" (Article 23(1)(e)), which align with the law enforcement and public interest grounds cited by the DfE.

7. The balancing test required under GDPR between transparency and data protection rights supports the non-disclosure, as the public interest in transparency was already served through the public hearing and published decision, while the additional disclosure of the complete audio recording would disproportionately affect the teachers' privacy rights.

8. The case does not involve any violation of GDPR principles as the processing (recording and retention of the hearing) had a proper legal basis under Article 6(1)(e) (""performance of a task carried out in the public interest"") and the non-disclosure represents a lawful restriction of access rights under Article 15.

Therefore the case is COMPLIANT with the policy."
"ICO examined a complaint submitted against the Northamptonshire Police regarding the way in which it handled a request for information. Namely, the complainant requested information from the Northamptonshire Police on whether it forcibly entered a property that he owns, but leases to a tenant, on suspicion that the property contained drugs. The complainant stated in the request that he could not obtain the information from the tenant itself. The Northamptonshire Police responded that it will neither confirm nor deny whether the entry took place, as sharing any information without the tenant’s consent would be contrary to the Data Protection Act 2018.",COMPLIANT,"Article 5, Article 6, Article 10","1. The case involves a request for information made to Northamptonshire Police, which qualifies as a data controller under Article 4 of the GDPR, as it determines the purposes and means of processing personal data related to law enforcement activities.

2. The information requested (whether police forcibly entered a property on suspicion of drugs) constitutes personal data under Article 4(1), as it relates to an identifiable natural person (the tenant), including details about potential criminal activities.

3. Article 10 specifically addresses processing of personal data relating to criminal convictions and offences, requiring that such processing be carried out only under the control of official authority or when authorized by Union or Member State law with appropriate safeguards.

4. The UK's Data Protection Act 2018, which implements GDPR provisions for law enforcement processing, provides specific rules for processing by competent authorities for law enforcement purposes, including limitations on disclosure.

5. The police's response of neither confirming nor denying the entry is consistent with their obligations under Article 10 and relevant UK law, as disclosing such information could compromise ongoing or future investigations, law enforcement techniques, and the privacy rights of individuals involved.

6. Article 12 requires controllers to facilitate the exercise of data subject rights, but Article 23 allows for restrictions of these rights when necessary for the prevention, investigation, detection or prosecution of criminal offences, which applies to this law enforcement context.

7. The police's position that sharing information without the tenant's consent would be contrary to data protection law is justified under Article 6(1), which requires lawful basis for processing, and the specific law enforcement provisions that limit disclosure of operational information.

8. The complainant's status as a property owner does not override the data protection rights of the tenant, as the GDPR protections apply equally to all data subjects regardless of their relationship to third parties making requests.

9. Therefore, Northamptonshire Police's handling of the request, by neither confirming nor denying the information, is COMPLIANT with the GDPR and implementing UK data protection legislation."
"On 13 June 2019, the complainant asked the Council to have access to various kinds of information related to the LLFA department (funding, qualifications of the staff, headcount etc.). The Council provided some pieces of information, but it did not disclose any information related to the qualifications of the members hired for the LLFA function.

From the complainant point of view, this information would be useful for them to understand the level of experience and technical qualifications held by the LLFA experts, which sometimes provide pieces of advice to the complainant for critical planning decisions.

The Council provided more details on the request (in particular the job profiles for four distinct roles within the team) and confirmed the validity of the hiring process, however it did not grant the access to all the information requested on the exception laid out on section 40(2) of the FOIA.",COMPLIANT,"Article 5, Article 6","1. The case involves a request by the complainant for access to personal data (qualifications of staff members) held by the Council, which is a controller under GDPR (Article 4(7)).
2. The qualifications of staff members constitute personal data as defined in GDPR Article 4(1), as they relate to identifiable natural persons.
3. GDPR Article 5 requires that personal data be processed lawfully, fairly, and transparently. Disclosing this personal data to a third party (the complainant) without a lawful basis would violate these principles.
4. GDPR Article 6 specifies that processing (including disclosure) of personal data requires a lawful basis, such as consent or legitimate interests. The Council did not have consent from the data subjects (staff members) for this disclosure, and the legitimate interests of the complainant in understanding staff qualifications for planning decisions do not override the rights and freedoms of the data subjects, as per the balancing test in Article 6(1)(f).
5. GDPR Article 15 grants the right of access to personal data only to the data subject themselves, not to third parties. The complainant is not the data subject, so Article 15 does not apply directly to this request.
6. GDPR Article 23 allows for restrictions on data subject rights, including access, for reasons such as the protection of the data subject's rights and freedoms. FOIA section 40(2) implements such a restriction by exempting personal data from disclosure if it would contravene data protection principles, aligning with GDPR.
7. The Council's decision to withhold the qualifications information based on FOIA section 40(2) is consistent with GDPR, as disclosure would likely infringe on the data subjects' privacy rights under Article 5 and Article 6.
8. Therefore, the Council's action is compliant with GDPR policies, particularly Articles 4, 5, 6, and 23.
9. Thus, the case is COMPLIANT with the policy."
"The complainant requested information from the Cabinet Office about whether The Queen and the Prime Minister, Boris Jonson had discussed the topics of Brexit or the prorogation of Parliament at their weekly meetings, or had exchanged correspondence on these subjects under The Freedom of Information Act (FOIA) and The Environmental Information Regulations (EIR).  The Cabinet Office refused to confirm or deny whether it held any information on the basis of section 37(2) by virtue of section 37(1)(a) (communications with the Sovereign),arguing that confirmation or denial would reveal The  Queen's personal data.

The complainant challenged the Cabinet Office’s decision before the ICO.",COMPLIANT,"Article 5, Article 6","1. The case involves a request for information about communications involving The Queen, who is an identifiable natural person under the policy's definition of ""data subject"" (Article 4).
2. The Cabinet Office's refusal to confirm or deny whether information exists constitutes processing of personal data under Article 4's definition, as this determination itself relates to The Queen's personal data.
3. The policy recognizes that Member State law may restrict data subject rights under Articles 12-22 when necessary to safeguard other important objectives of general public interest (Article 23(1)(e)), including the protection of judicial independence and proceedings.
4. The UK's FOIA section 37(1)(a) provides a specific legal basis for exempting communications with the Sovereign, which constitutes Member State law that restricts the right to information under Article 15 of the policy.
5. This restriction respects the essence of fundamental rights and freedoms and represents a necessary and proportionate measure in a democratic society to protect the constitutional principle of Sovereign confidentiality, which is an important objective of general public interest (Article 23(1)).
6. The policy allows for such restrictions when they contain specific provisions regarding the purposes of processing and appropriate safeguards (Article 23(2)), which FOIA section 37 provides through its specific exemption framework.
7. The Cabinet Office's application of this exemption demonstrates compliance with the policy's allowance for lawful restrictions on data subject rights when based on Member State law that serves important public interests.
8. Therefore, the case is COMPLIANT with the policy as it properly applies a Member State law restriction that aligns with the provisions and safeguards outlined in Article 23 of the policy."
"The Insolvency Services received a request to provide all information regarding two companies it holds on record.  The complainant believed that the Director of an insolvent company had set up a second company with a prohibited name and had requested information about both companies.

Article 216 Insolvency Act prohibits the Director of an insolvent company to use the name of that company in the 12 months leading up to the liquidation.

The Insolvency Service noted that the information it held was already public and that it could not disclose the remainder as it falls under the personal data of an individual (the Director). However, in its communication with the complainant, the Insolvency Services indirectly confirmed that it held more information, by mentioning that the legislation only prevented the directors of the insolvent company from being involved with another company using the same or similar name.

The complainant challenged the way his request was handled by the Insolvency Service before the Information Commission Office.",COMPLIANT,"Article 5, Article 10","1. The case involves a request to the Insolvency Services for information about two companies, which includes personal data of the Director, as the Director is an identifiable natural person under Article 4 of the GDPR (definition of 'personal data').

2. The Insolvency Services, as a controller under Article 4 (definition of 'controller'), is responsible for ensuring that personal data is processed lawfully, fairly, and transparently in accordance with Article 5(1)(a).

3. The request was made by a third party (the complainant), not by the data subject (the Director), so the right of access under Article 15 does not apply to this request, as Article 15 grants rights only to the data subject.

4. Disclosing personal data to a third party requires a lawful basis under Article 6, such as consent or legitimate interests, but no such basis was present here. The Insolvency Services correctly refused to disclose personal data to protect the Director's rights.

5. The Insolvency Services noted that some information was already public, and disclosing public information does not violate GDPR, as it is not considered personal data or is already in the public domain.

6. The indirect confirmation by the Insolvency Services—by mentioning the legislation—did not constitute disclosure of personal data, as it was a general statement about the law and not specific personal information, thus complying with the principles of data minimization and integrity in Article 5(1)(c) and (f).

7. The handling of the request aligns with Article 12, which requires controllers to facilitate data subject rights but does not obligate them to respond to third-party requests for others' personal data.

8. Therefore, the case is COMPLIANT with the GDPR policy."
"A data subject asked the University of London to have access to the names of the examiners who assessed the PhD thesis of President Tsai Ing-wen, the President of the Republic of China, and the date on which the thesis was assessed.

From his point of view, this information would be useful to validate the legitimacy of President Tsai’s  thesis. He was concerned that the thesis was not filed with the LSE’s library until 2019 and that the filed copy appeared to be a 'draft document' and casted doubt on the thesis’ validity. Therefore his request should be accepted for a broad public interest.

The University of London confirmed the validity of the President Tsai’s thesis and provided a link to the copy of the thesis in question, however it didn't grant the access to the personal data requested to the individual under section 40(2) of the FOIA.",COMPLIANT,"Article 5, Article 6","1. The case involves a data subject requesting personal data (examiners' names and assessment date) from the University of London, which qualifies as a data controller under Article 4(7) of the GDPR policy.

2. The requested information (examiners' names and assessment date) constitutes personal data under Article 4(1) as it relates to identifiable natural persons (the examiners).

3. Under Article 15(1), the right of access applies only to personal data concerning the data subject themselves. The requester is not the data subject for this information (the examiners are), so Article 15 rights do not apply to this request.

4. The University's refusal to disclose the examiners' personal data is consistent with Article 5(1)(a) (lawfulness, fairness, and transparency) as disclosing third-party personal data without legal basis would be unlawful.

5. The public interest argument does not override the fundamental data protection principles, as the University already confirmed the thesis validity and provided access to the thesis itself, addressing the core concern without needing to disclose third-party personal data.

6. The processing (disclosure) of the examiners' personal data would require a lawful basis under Article 6, and no applicable basis exists (consent not obtained, not necessary for contract, etc.).

7. The case demonstrates compliance with the purpose limitation principle (Article 5(1)(b)) as the University processed the examiners' data only for assessment purposes, not for public disclosure.

8. The University's actions align with the accountability principle (Article 5(2)) as they implemented appropriate measures to protect third-party personal data from unauthorized disclosure.

9. Therefore the case is COMPLIANT with the policy."
