document,reasoning,verdict,policy_clauses
The complainant has requested the disclosure of information about complaints in respect of a specified property over a defined period of time. Canterbury City Council (“the Council”) withheld the information because it considered that the information within scope was the personal data of third parties and that disclosure would breach the GDPR principles. The complainant challenged the decision before the ICO.,"The Commissioner’s decision is that, as the complainant and his family have either owned or occupied the land in question during the time period specified, all the information falling within the scope of the request is in fact the complainant’s own personal data. The ICO has therefore applied Regulation 5(3) of the Environmental Information Regulations 2004 (EIR) which prevents disclosure to the world at large of information including personal data. Also, the ICO considered that the personal data at issue were criminal offence data about the complainant, as described by Article 10 GDPR, and not special category of personal data, as described by Article 9 GDPR.

The complainant requested information about members’ registers of declaration of interest. Snowdonia National Park Authority (‘the Authority’) withheld the information requested under section 40(2) of the FOIA. This provision applies as an exemption to the principle of disclosure, if there is third party personal data concerned. The Commissioner found that the Authority had incorrectly applied section 40(2) to the request. The Commissioner required the public authority to disclose the information requested by the complainant, namely, the previous copies of the members’ registered of declaration of interest. The Commission found that the information comprised declaration of personal interest forms completed by members of the Authority with the name of the members. However, the members named in these declarations of interest, are deceased. Thus, the information at issue cannot constitute personal data relating to a living identifiable individual as defined by the adaption law of the GDPR.  URL: https://ico.org.uk/media/action-weve-taken/decision-notices/2019/2616245/fs50810710.pdf The ICO issued a decision related to disclosure of information held by public authorities which was likely to include personal data.",COMPLIANT,"Article 4, Article 5, Article 6"
The complainant has requested a copy of an inspection report named kennels to the Pendle Borough Council (the Council). The Council refused as it considered it to be third party personal data under 40(2) of the Freedom of Information Act (FOIA). The complainant challenged the decision before the ICO.,"The ICO confirmed that the requested information was considered to be personal data pursuant to Section 3(2) of the Data Protection Act (DPA) and Article 4(1) GDPR. Pursuant to the FOIA and the GDPR, the ICO balanced the right to information and the protection of the personal data at issue in order to assess if the disclosure would contravene Article (1)(a) GDPR principle. It found that the access to information request did not override the third party right to privacy. The ICO found that the refusal of disclosure was justified and it was legitimate to withhold the information under section 40(2) of the FOIA by virtue of section 40(3A)(a) for transparency purposes.",COMPLIANT,"Article 4, Article 5, Article 6"
"The complainant submitted a request to the Ministry of Defence (MOD) under the UK Freedom of Information Act (FOIA) seeking access to a fax cover sheet sent to the Veterans Welfare Service regarding a claim for payment following the death in service of the complainant’s son.

The MOD provided the complainant with a redacted version of the document in question, but sought to withhold the redacted information on the basis of section 40(2) of FOIA, which

The complainant challenged the decision before the ICO, in the ICO's capacity under the Freedom of Information Act.","The ICO first held, that ""the two main elements of personal data are that the information must relate to a living person and that the person must be identifiable.""

On the ""legitimate interest"" the ICO applied a three-part test:

* Legitimate interest test: Whether a legitimate interest is being pursued in the request for information;
* Necessity test: Whether disclosure of the information is necessary to meet the legitimate interest in question;
* Balancing test: Whether the above interests override the legitimate interest(s) or fundamental rights and freedoms of the data subject.

While balancing legitimate interest in disclosure against data subject’s interest and fundamental rights and freedoms, the Commissioner considered that the public authority would have infringed Articles 5(1)(a) and 6(1)(f) of the GDPR in disclosing this information. It found that the disclosure was not necessary to pursue a legitimate interest and it would have caused unjustified harm to the data subjects. Overall, the interests and rights of the data subjects were likely to override legitimate interest in disclosure. Therefore, the ICO decided that the redacted information is exempt from disclosure on the basis of section 40(2) of FOIA.",COMPLIANT,"Article 4, Article 5, Article 6"
"The complainant has requested information from University of Leicester about external examiners for the department of engineering between the years 2010 to 2018. The University withheld the information, citing section 40(2) (personal information) of the FOIA.

The complainant challenged the decision before the ICO.","As per the applicability of Article Articles 40(2) FOIA, it must be determined whether the withheld information constitutes personal data and, in the affirmative, whether disclosure of that data would breach any of the data protection principles under the Data Protection Act.

According to the ICO the information at stake is personal data. The fact that information constitutes the personal data of identifiable living individuals does not automatically exclude it from disclosure under the FOIA.

The second element of the test is to determine whether disclosure would contravene any of the data protection principles. In the present case, the most relevant principle is the one protected under Article 5(1)(a) GDPR: ""Personal data shall be processed lawfully, fairly and in a transparent manner in relation to the data subject"".

The Commissioner considers that the most likely applicable lawful bases is the legitimate interest of the controller under Article 6(1)(f) GDPR. In considering the application of Article 6(1)(f) GDPR in the context of a request for information under FOIA it is necessary to consider the three-part test: (i) legitimate interest, (ii) necessity and (iii) balancing of conflicting interests.

The Commissioner accepts that the complainant has (i) a legitimate interest in seeing the requested information and that the disclosure is (ii) necessary for meeting a legitimate public interest. Such interest is to be (iii) balanced against the data subjects’ interests.

In carrying out the assessment under (iii) it is necessary to consider the impact of disclosure in terms of harm or distress, the reasonable expectations of the individual as well as whether the information is already in the public domain.

Within the University’s response to the Commissioner’s enquiries, it outlined that at the time of the request, the external examiners for that academic year had also been the external examiners for the previous two academic years. Therefore, the University argued, any student who had concerns about any conflicts of interest an external examiner might have had,would already have had two years in which to complain.

Based on the above factors, the Commissioner has determined that there is insufficient legitimate interest to outweigh the data subjects’ fundamental rights and freedoms. The Commissioner therefore considers that there is no Article 6 basis for processing and so the disclosure of the information would not be lawful.

In conclusion, the ICO decided that the University was entitled to rely on the exemption at section 40(2) FOIA.",COMPLIANT,"Article 4, Article 5, Article 6"
"The Department of Education (the DfE) was requested to provide the entire audio recording of a Professional Conduct Panel hearing into a case against five teachers - so called Trojan Horse affair. (This involved investigations into the alleged infiltration of Islamist extremists into the education sector in Birmingham. These hearings investigate whether there has been unacceptable professional misconduct by these five teachers) The hearing took place in public and was recorded by the National College for Teaching and Leadership (NCTL).  The panel’s decision was announced on the government’s website.

The complainant argued with the DfE that the audio files contain important information not found elsewhere such as how statements were spoken including intonation and emotion. He further argues that this is essential for public scrutiny and transparency in this case.

The request was refused by the DfE under section 40(2) (personal information), 31(2) (law enforcement) and 14 (vexatious request) of the FOIA.

- Section 40 of the FOIA provides exemptions from the right to information if it is personal data as defined in the DPA.

-Section 14 states that the public authorities do not have to comply with vexatious requests.

The complainant filed a complaint against the DfE with the ICO about the way his request for information had been handled by the DfE.","The ICO  starts its ruling by stating that complying with the present request would not be a burden for the DfE, and moved on to consider if the requested information constituted personal data as defined  by the Data Protection Act 2018 (‘DPA’).

By referring to section 3(2) of the DPA, the ICO stated that the withheld information in the audio record falls within the definition of ‘personal data’, it relates to and identifies the data subjects concerned.  Audio recording would reveal the identities of individuals involved and would capture information related to religious views due to the hearing relating to alleged extremism.  Moreover, the requested data does include special category data. Here, the commissioner refers to article 9 of the GDPR.  ‘There will be clear references to the religious beliefs of some of the individuals’ and it would be difficult to separate out the special category data without rendering some of the remaining information meaningless, particularly as the request concerns audio recordings. As none of the conditions required by article 9 of GDPR for processing special category data are satisfied there is no legal basis for its disclosure.  Processing any special category data in the recordings would therefore breach principle of DP and so this information is exempt under section 40(2) of the FOIA.

The ICO has gone on to consider if there are conditions defined by an article 6 of GDPR (in this case art.6 (1)(f)) to allow for the lawful processing of the remaining personal data in the audio recordings that is not special category data. The ICO considered three-part test: Legitimate interest Necessity and Balancing tests. While the ICO acknowledges that the disclosure of the requested information is necessary to meet the legitimate interests identified by the complainant, it determined that that legitimate interest is insufficient to outweigh the data subjects’ fundamental rights and freedoms.",COMPLIANT,"Article 5, Article 6, Article 9"
"ICO examined a complaint submitted against the Northamptonshire Police regarding the way in which it handled a request for information. Namely, the complainant requested information from the Northamptonshire Police on whether it forcibly entered a property that he owns, but leases to a tenant, on suspicion that the property contained drugs. The complainant stated in the request that he could not obtain the information from the tenant itself. The Northamptonshire Police responded that it will neither confirm nor deny whether the entry took place, as sharing any information without the tenant’s consent would be contrary to the Data Protection Act 2018.","Regarding the first criteria, ICO concluded that confirming or denying whether Northamptonshire Police forced entry at a specific property would involve the disclosure of a third party’s personal data (i.e. the tenant’s). Although the request for information relates to the residential address and no individual is explicitly named, it is possible to identify the tenant as the occupant of the property. ICO therefore concluded that the information on whether Northamptonshire Police forced entry at the property is in fact information which relates to the tenant, withing the meaning of the GDPR.

As for the second criteria, ICO concluded that confirming or denying whether forced entry took place (i.e. disclosing data) constitutes data processing. Therefore, such disclosure must be done in a lawful, fair and transparent manner in accordance with Article 5(1)(a) and Article 6(1) of the GDPR. Specifically, ICO found that the processing in this case constitutes processing of ""criminal offence data"" within the meaning of Article 10 of the GDPR. This is because confirming or denying would disclose that that the tenant’s house either had, or had not, been raided by Northampton Police in connection with the presence of drugs in the property. Since such ""criminal offence data"" are sensitive data, they can only be processed (i) if there is a consent of the data subject, or (ii) if the data were made manifestly public by the data subject. None of these conditions were satisfied in the case in question (on the contrary, the tenant refused to provide the complainant with any information), which is why ICO found that there was no legal basis for the disclosure of data. Therefore, the Northampton Police had the right to rely on the ""neither confirm nor deny"" provisions.

Finally, although the Northampton Police had the right to rely on said provisions, ICO found that it nonetheless breached section 17(1)(b) of the FOIA by failing to specify, in its response to the complainant, the exemption on which it was relying.",COMPLIANT,"Article 5, Article 6, Article 10"
"On 13 June 2019, the complainant asked the Council to have access to various kinds of information related to the LLFA department (funding, qualifications of the staff, headcount etc.). The Council provided some pieces of information, but it did not disclose any information related to the qualifications of the members hired for the LLFA function.

From the complainant point of view, this information would be useful for them to understand the level of experience and technical qualifications held by the LLFA experts, which sometimes provide pieces of advice to the complainant for critical planning decisions.

The Council provided more details on the request (in particular the job profiles for four distinct roles within the team) and confirmed the validity of the hiring process, however it did not grant the access to all the information requested on the exception laid out on section 40(2) of the FOIA.","First, notwithstanding the fact the complainant did not want the names of the LLFA members, the ICO confirmed that the information requested (number of officers in a specific team and which qualifications are held within the team) can be considered personal data related to them.

Then, the DPA evaluated if the disclosure of this information would have been lawful, fair and transparent, according to the Art. 5(1)(a) of the GDPR.

With regards to the lawfulness of the request, one of the legal bases listed in Article 6(1) of the GDPR must apply to the processing. In this case, the Supervisory Authority specified that the 'legitimate interest' (art. 6(1)(f)) would underlie as the most appropriate basis.

Therefore, the ICO proceeded to assess the three-part test (legitimate interest, necessity and balancing tests) to see what would be the outcome.

As mentioned above, the complainant was interested in the expertise of the LLFA staff, which provide support and advice for some critical situations related to the complainant's tasks ('legitimate interest test'). Also, in its view, disclosing this information would be the only way to have access to it ('necessity test').

However, moving to the 'balancing test', the ICO interpreted this to mean that the members of the staff would not have expected that their personal data would be released to the public, in particular after having gone through the Council recruitment process and checks. The Commissioner, therefore, considered that disclosure remains beyond their expectations and would cause them some level of distress.

Taking into account this evaluation, the Authority rejected the request of the complainant and confirmed the choice of the Council to withhold these pieces of information, in the light of the insufficient legitimate interest of the complainant to take priority over the data subjects’ fundamental rights and freedoms and in line with its previous decisions (such as FS50819174, FS50849126, FS50668506 and FS50849126).",COMPLIANT,"Article 5, Article 6"
"The complainant requested information from the Cabinet Office about whether The Queen and the Prime Minister, Boris Jonson had discussed the topics of Brexit or the prorogation of Parliament at their weekly meetings, or had exchanged correspondence on these subjects under The Freedom of Information Act (FOIA) and The Environmental Information Regulations (EIR).  The Cabinet Office refused to confirm or deny whether it held any information on the basis of section 37(2) by virtue of section 37(1)(a) (communications with the Sovereign),arguing that confirmation or denial would reveal The  Queen's personal data.

The complainant challenged the Cabinet Office’s decision before the ICO.","The ICO held that the Cabinet Office can rely on the section 37 (2) FOIA to deny whether it holds information in the scope of the request; the former defines that information is exempt if it relates to 'communications with the Sovereign' and according to the section 37 (2), the duty to deny does not arise in relations to information which is exempt information defined by subsection 1.

The EIR provides that the duty to confirm or deny whether information is held does not arise if it would contravene any of the principles relating to the processing of personal data set out in Article 5 of the GDPR. The Cabinet Office could rely on that section of the regulation if two conditions are met: if the confirmation or denial  of having information would constitute the disclosure of a third party’s personal data; and providing this confirmation or denial would contravene one of the data protection principles.

The ICO ruled that confirmation or denial whether it held any information, would reveal The Queen’s personal data.  The ICO then has examined if providing The Queen personal data would contravene the data protection principles.  Based on the article 5(1)(a) and 6 (1) (f) of the GDPR, three part test were  considered by the ICO: (i) Legitimate interest test, (ii) Necessity test, (iii) Balancing test. Although, the legitimate interest tests and necessity tests are met, the Commissioner has concluded that The Queen’s interests and rights override the legitimate interests in confirming or denying whether information is held. The ICO has taken into account the consequences of disclosure and a the very significant expectation of The Queen that her communications with the government are confidential.",COMPLIANT,"Article 5, Article 6"
"The Insolvency Services received a request to provide all information regarding two companies it holds on record.  The complainant believed that the Director of an insolvent company had set up a second company with a prohibited name and had requested information about both companies.

Article 216 Insolvency Act prohibits the Director of an insolvent company to use the name of that company in the 12 months leading up to the liquidation.

The Insolvency Service noted that the information it held was already public and that it could not disclose the remainder as it falls under the personal data of an individual (the Director). However, in its communication with the complainant, the Insolvency Services indirectly confirmed that it held more information, by mentioning that the legislation only prevented the directors of the insolvent company from being involved with another company using the same or similar name.

The complainant challenged the way his request was handled by the Insolvency Service before the Information Commission Office.","The Commissioner stated that the information, specifically the confirmation or denial about having more information, in the scope of the request, would fall within the definition of ‘personal data’ defined in section 3(2) DPA: “Any information relating to an identified or identifiable living individual”. The Commissioner explains that an identifiable living individual is one who can be identified, directly or indirectly, by reference to an identifier such as a name, location data, etc. The confirmation or denial that information was held by the Insolvency Service, not arleady in the public, either way, would involve the disclosure of something about the Director – who is indirectly identifiable from the request.

Providing a confirmation or a denial whether it holds information falling within the scope of the request, the Insolvency Service disclosed the personal data, and therefore, by doing so, it breached data protection principles. Here, the Commissioner referred to Article 5(1)(a) GDPR.

Moreover, the Commissioner also stated that confirmation or denial, would involve the processing of the criminal offence data in the scope of the request. Referring to Article 10 GDPR, as well as domestic legislation, the Commissioner underlined that by indirectly confirming or denying the information, it confirmed that it had taken steps to establish whether a breach of Section 216 had occurred, by doing so, the Insolvency Service processed and disclosed criminal offence data.",COMPLIANT,"Article 5, Article 10"
"A data subject asked the University of London to have access to the names of the examiners who assessed the PhD thesis of President Tsai Ing-wen, the President of the Republic of China, and the date on which the thesis was assessed.

From his point of view, this information would be useful to validate the legitimacy of President Tsai’s  thesis. He was concerned that the thesis was not filed with the LSE’s library until 2019 and that the filed copy appeared to be a 'draft document' and casted doubt on the thesis’ validity. Therefore his request should be accepted for a broad public interest.

The University of London confirmed the validity of the President Tsai’s thesis and provided a link to the copy of the thesis in question, however it didn't grant the access to the personal data requested to the individual under section 40(2) of the FOIA.","The ICO confirmed that the information requested (names of the examiners and date of the thesis' assessment) can be considered personal data related to the President Tsai Ing-wen.

Then, the DPA evaluated if the disclosure of this information would have been lawful, fair and transparent, according to the Art. 5(1)(a) of the GDPR.

With regards to the lawfulness of the request, one of the legal bases listed in Article 6(1) of the GDPR must apply to the processing. In this case, the Supervisory Authority specified that the 'legitimate interest' (art. 6(1)(f)) would underlie as the most appropriate basis.

Therefore, the ICO proceeded to assess the three-part test (legitimate interest, necessity and balancing tests) to see what would be the outcome.

As mention above, the data subject was interested in the legitimacy of President Tsai’s 1984 thesis (legitimate intest test) and, in his view, disclosing the names of the examiners who assessed the thesis, and the date when they ‘signed it off’, would have been necessary to support that the thesis was a valid piece of work (necessary test).

However, The Authority clarified that the fact that the thesis was officially listed in the publicly searchable University library provided the confirmation of a qualification of the President Tsai Ing-wen, thus the disclosure of the requested information would not be necessary for this purpose.

Furthermore, moving to the balancing test, the ICO interpreted this to mean that neither President Tsai nor the examiners would have expected their personal data to be released so many years before the introduction of the FOIA. Whilst President Tsai might reasonably expect this now, in particular in order to end the 'ongoing public controversy' on this topic, the Commissioner considered that disclosure remains beyond the examiners’ expectations. It is therefore possible that disclosing this information would cause them distress.

Taking into account this evaluation, the Authority rejected the request of the data subject and confirmed the choice of the University of London to withhold these pieces of information, in the light of the insufficient legitimate interest of the individual to take priority over the data subjects’ fundamental rights and freedoms.",COMPLIANT,"Article 5, Article 6"
"The complainant requested information regarding a grievance process within the Department of Finance in Northern Ireland (the Department) under FOIA. The information included interview notes and statements as well as names, ranks and job roles of interviewees in the evidence gathering process. The Department refused disclosure for reasons of data protection, relying on section 40 (2) FOIA.","The ICO decides that the Department correctly refused to disclose the requested information under section 40(2) FOIA, by way of section 40(3A) a.

The requested information constitutes personal data and can not be anonymised to prevent identification of data subjects from the data released.

The ICO considers Article 6 (1) (f) as a potential basis for processing, confirms legitimate interest and necessity but concludes that the rights and freedoms of the data subjects outweigh the legitimate interest in disclosure. It takes into consideration the extent of a potential disclosure under FOIA (to the wider public), the data subjects’ reasonable expectation of confidentiality and potential stress in case of disclosure.",COMPLIANT,"Article 5, Article 6"
"The complainant requested information relating to a recruitment process within a public authority (the Trust). The Trust withheld parts of the requested information, containing redacted application forms, citing  section 40 (2) FOIA.","The withheld information constitutes personal data and disclosure would be unlawful. Hence, the Trust was right to withhold the information requested under section 40(2) FOIA, by way of section 40(3A)(a).

The ICO saw the particular data subjects’ interests to be protected in the personal statements on the application forms. Even though the names would have been redacted, the candidates’ identity could be derived by a “motivated intruder” using other information publicly available (“mosaic argument”) and therefore constitute personal data.

As regards the breach of data protection principles the ICO refers to Article 5 (1) (a). It then elaborates on the applicability of a legal basis according to Article 6 (1) (f).

The ICO confirms a legitimate interest in that the complainant is concerned about having been discriminated against during the application process.

Furthermore, it deems the potential disclosure of the requested applications necessary to meet this interest.

However, it states that the interest is of a case specific rather than general nature, and concludes that this is easily outweighed by the interests of the data subjects, taking into account the data subjects’ reasonable expectation for their data not to be released and, connectedly, a degree of harm or stress induced by a potential release, in particular since releases under FOIA are releases to the general public.

As regards interests laid out in the Equality Act and fairness of the trial in question, the ICO considers the Trust’s cooperation in releasing all other requested information, which it didn’t deem to be protected by data protection principles, and this to be sufficient evidence of transparency in principle.

Addressing arguments brought by the claimant, the ICO finds that if there was a reasonable expectation by the data subjects for application details to be released, it would increasingly apply to higher ranking posts, and higher than the one in question, for increased relevance of public interest to be taken into consideration.

Furthermore, an analogy to the disclosure of the application forms to the recruitment panel, as brought by the claimant, did not hold, since the applicants would reasonably expect this and have therefore directly or tacitly consented. Also, disclosure to the recruitment panel was less invasive than a release to the wider public under FOIA.",COMPLIANT,"Article 5, Article 6"
The complainant had received a letter from the Council regarding a complaint about his dog barking. He requested the name of the person who had submitted the complaint but was refused this information under regulation  13 EIR.,"The Commissioner finds that the Council was correct in withholding the requested information on the basis of regulation 13 EIR.

With reference to the principles laid out in Article 5 (1) (a) GDPR, the Commissioner seeks to determine the lawfulness of a potential disclosure by examining the conditions for legitimate interest according to Article 6 (1) (f) GDPR.

The Commissioner confirms a legitimate interest of the complainant in receiving the requested information, albeit no wider one in the public accessing the information.

Disclosure would also be necessary, including being the least intrusive means to satisfy the legitimate interest specified, she finds.

Crucially, the Commissioner states that in her view “a key issue is whether the individuals concerned have a reasonable expectation that their information will not be disclosed” and whether “disclosure would be likely to result in unwarranted damage or distress to that individual”.

The Commissioner supports the Council’s consideration that complaints to the Council are generally submitted with the expectation of the submitter’s personal information not be released, noting also that a release under EIR would formally be a release into the public domain.

This be supported by the fact that there is no option to submit a complaint to the Council anonymously and that the submission form contains an assurance of confidentiality. This assurance was, in addition, reconfirmed personally to the submitter of the original complaint during the process of further internal investigations into the complaint.

The identity of an individual making a complaint must therefore, and due to the general rationale for and application of the practice of non-disclosure, be subject to the common law duty of confidentiality.

The individual explicitly denied consent for disclosure and, not solely based on this fact, disclosure of their identity would be  “highly likely to cause damage or distress to them […]”

The Commissioner concludes that the fundamental rights and freedoms of the individual whose data is concerned are not outweighed by the merely personal legitimate interest of the complainant and that accordingly, for lack of a legal basis of processing, and in particular Article 6 (1)(f), disclosure would contravene the principle of lawful processing. On this basis the Council correctly refused disclosure with reference to regulation 13 EIR.",COMPLIANT,"Article 5, Article 6"
"The IP was told that a controller, as a manager, had conditioned the the access of vehicles to a garage on obtaining information about their license plates. By recognizing the license plate numbers that the controller would maintain in the system, the camera would recognize it and provide access to the garage.","An essential condition for the vehicle data (including the registration number) to become personal data is therefore that it is possible to identify the person precisely through them. In the specific case, other personal data (addresses, apartment numbers) are processed in addition to the registration plates, so that the individual is identified or can be identified. IP considers that the registration plates of vehicles should be treated as personal data due to their nature, their purpose and the possible identifiability of the individual.",COMPLIANT,Article 6
